T,K,dl,dh
6,2,"0,61018","1,40015"
7,2,"0,69955","1,35635"
7,3,"0,46723","1,89636"
8,2,"0,7629","1,33238"
8,3,"0,55907","1,77711"
8,4,"0,36744","2,28664"
9,2,"0,82428","1,31988"
9,3,"0,6291","1,69926"
9,4,"0,45476","2,12816"
9,5,"0,29571","2,5881"
10,2,"0,87913","1,31971"
10,3,"0,69715","1,64134"
10,4,"0,52534","2,01632"
10,5,"0,37602","2,41365"
10,6,"0,24269","2,82165"
11,2,"0,92733","1,32409"
11,3,"0,75798","1,60439"
11,4,"0,59477","1,92802"
11,5,"0,44406","2,28327"
11,6,"0,31549","2,64456"
11,7,"0,20253","3,00447"
12,2,"0,97076","1,33137"
12,3,"0,81221","1,57935"
12,4,"0,65765","1,86397"
12,5,"0,51198","2,17662"
12,6,"0,37956","2,50609"
12,7,"0,26813","2,83196"
12,8,"0,17144","3,1494"
13,2,"1,00973","1,3404"
13,3,"0,86124","1,56212"
13,4,"0,71465","1,81593"
13,5,"0,57446","2,09428"
13,6,"0,44448","2,38967"
13,7,"0,32775","2,69204"
13,8,"0,23049","2,98506"
13,9,"0,14693","3,26577"
14,2,"1,04495","1,35027"
14,3,"0,90544","1,55066"
14,4,"0,76666","1,77882"
14,5,"0,63206","2,02955"
14,6,"0,50516","2,29593"
14,7,"0,38897","2,57158"
14,8,"0,28559","2,84769"
14,9,"0,20013","3,11121"
14,10,"0,12726","3,36038"
15,2,"1,07697","1,36054"
15,3,"0,94554","1,54318"
15,4,"0,81396","1,75014"
15,5,"0,68519","1,97735"
15,6,"0,56197","2,21981"
15,7,"0,44707","2,47148"
15,8,"0,3429","2,72698"
15,9,"0,2509","2,97866"
15,10,"0,17531","3,21604"
15,11,"0,11127","3,43819"
16,2,"1,10617","1,37092"
16,3,"0,98204","1,5386"
16,4,"0,85718","1,72773"
16,5,"0,734","1,93506"
16,6,"0,61495","2,15672"
16,7,"0,50223","2,38813"
16,8,"0,39805","2,62409"
16,9,"0,30433","2,86009"
16,10,"0,22206","3,08954"
16,11,"0,15479","3,30391"
16,12,"0,09809","3,50287"
17,2,"1,13295","1,38122"
17,3,"1,01543","1,53614"
17,4,"0,89675","1,71009"
17,5,"0,77898","1,90047"
17,6,"0,66414","2,10414"
17,7,"0,55423","2,31755"
17,8,"0,45107","2,5366"
17,9,"0,35639","2,75688"
17,10,"0,27177","2,97455"
17,11,"0,19784","3,184"
17,12,"0,13763","3,37817"
17,13,"0,08711","3,55716"
18,2,"1,15759","1,39133"
18,3,"1,04607","1,53525"
18,4,"0,9331","1,69614"
18,5,"0,82044","1,87189"
18,6,"0,70984","2,06"
18,7,"0,60301","2,2575"
18,8,"0,50158","2,46122"
18,9,"0,40702","2,66753"
18,10,"0,32076","2,87268"
18,11,"0,24405","3,07345"
18,12,"0,17732","3,26497"
18,13,"0,12315","3,44141"
18,14,"0,07786","3,60315"
19,2,"1,18037","1,40118"
19,3,"1,0743","1,53553"
19,4,"0,96659","1,68509"
19,5,"0,85876","1,84815"
19,6,"0,75231","2,02262"
19,7,"0,6487","2,20614"
19,8,"0,54938","2,39602"
19,9,"0,45571","2,58939"
19,10,"0,36889","2,78312"
19,11,"0,29008","2,97399"
19,12,"0,22029","3,1593"
19,13,"0,15979","3,33481"
19,14,"0,11082","3,49566"
19,15,"0,07001","3,64241"
20,2,"1,20149","1,41073"
20,3,"1,1004","1,53668"
20,4,"0,99755","1,67634"
20,5,"0,89425","1,82828"
20,6,"0,79179","1,99079"
20,7,"0,69146","2,16189"
20,8,"0,59454","2,33937"
20,9,"0,5022","2,52082"
20,10,"0,41559","2,70374"
20,11,"0,33571","2,88535"
20,12,"0,26349","3,06292"
20,13,"0,19978","3,23417"
20,14,"0,14472","3,3954"
20,15,"0,10024","3,5425"
20,16,"0,06327","3,67619"
21,2,"1,22115","1,41997"
21,3,"1,12461","1,53849"
21,4,"1,02624","1,66942"
21,5,"0,92719","1,81157"
21,6,"0,82856","1,9635"
21,7,"0,73149","2,12355"
21,8,"0,6371","2,28988"
21,9,"0,54645","2,46051"
21,10,"0,46055","2,63324"
21,11,"0,38035","2,80588"
21,12,"0,30669","2,976"
21,13,"0,24033","3,14129"
21,14,"0,18198","3,29979"
21,15,"0,13166","3,44827"
21,16,"0,09111","3,58322"
21,17,"0,05747","3,70544"
22,2,"1,23949","1,42888"
22,3,"1,14713","1,54079"
22,4,"1,05292","1,66398"
22,5,"0,95783","1,79744"
22,6,"0,86285","1,93996"
22,7,"0,76898","2,09015"
22,8,"0,67719","2,24646"
22,9,"0,58843","2,40718"
22,10,"0,50363","2,57051"
22,11,"0,42363","2,73452"
22,12,"0,34926","2,89726"
22,13,"0,28119","3,05662"
22,14,"0,22003","3,21061"
22,15,"0,16642","3,35756"
22,16,"0,12028","3,49463"
22,17,"0,08315","3,6188"
22,18,"0,05242","3,73092"
23,2,"1,25665","1,43747"
23,3,"1,16815","1,54346"
23,4,"1,07778","1,65974"
23,5,"0,98639","1,78546"
23,6,"0,89488","1,91958"
23,7,"0,8041","2,06093"
23,8,"0,71493","2,20816"
23,9,"0,62821","2,35988"
23,10,"0,54478","2,51449"
23,11,"0,46541","2,67038"
23,12,"0,39083","2,82585"
23,13,"0,32172","2,97919"
23,14,"0,25866","3,12852"
23,15,"0,20216","3,27216"
23,16,"0,15274","3,40865"
23,17,"0,11029","3,53549"
23,18,"0,07619","3,65007"
23,19,"0,04801","3,75327"
24,2,"1,27276","1,44575"
24,3,"1,18781","1,54639"
24,4,"1,101","1,65649"
24,5,"1,01309","1,77526"
24,6,"0,92486","1,90184"
24,7,"0,83706","2,03522"
24,8,"0,75048","2,17427"
24,9,"0,66589","2,31774"
24,10,"0,584","2,46431"
24,11,"0,50554","2,6126"
24,12,"0,43119","2,76111"
24,13,"0,36156","2,90835"
24,14,"0,29723","3,05282"
24,15,"0,23869","3,19285"
24,16,"0,18635","3,327"
24,17,"0,14066","3,45402"
24,18,"0,1015","3,57167"
24,19,"0,07006","3,67769"
24,20,"0,04413","3,77297"
25,2,"1,28791","1,45371"
25,3,"1,20625","1,54954"
25,4,"1,12276","1,65403"
25,5,"1,03811","1,76655"
25,6,"0,95297","1,88634"
25,7,"0,86803","2,01252"
25,8,"0,784","2,14412"
25,9,"0,70154","2,28007"
25,10,"0,62133","2,41924"
25,11,"0,54401","2,56041"
25,12,"0,47019","2,70229"
25,13,"0,40046","2,8436"
25,14,"0,33536","2,983"
25,15,"0,27536","3,11913"
25,16,"0,2209","3,25058"
25,17,"0,17231","3,37604"
25,18,"0,12995","3,49447"
25,19,"0,09371","3,60384"
25,20,"0,06465","3,7022"
25,21,"0,0407","3,79041"
26,2,"1,30219","1,46139"
26,3,"1,22358","1,55281"
26,4,"1,14319","1,65225"
26,5,"1,06158","1,75911"
26,6,"0,97937","1,87274"
26,7,"0,89717","1,9924"
26,8,"0,81561","2,11722"
26,9,"0,73529","2,24629"
26,10,"0,65683","2,37862"
26,11,"0,58079","2,51315"
26,12,"0,50775","2,64877"
26,13,"0,43825","2,78436"
26,14,"0,37279","2,91872"
26,15,"0,31182","3,05067"
26,16,"0,25578","3,17904"
26,17,"0,20499","3,30253"
26,18,"0,15977","3,42006"
26,19,"0,12041","3,53067"
26,20,"0,08677","3,63257"
26,21,"0,05983","3,72404"
27,2,"1,31568","1,46878"
27,3,"1,23991","1,5562"
27,4,"1,16239","1,65101"
27,5,"1,08364","1,75274"
27,6,"1,00421","1,86079"
27,7,"0,92463","1,97449"
27,8,"0,84546","2,09313"
27,9,"0,76726","2,21588"
27,10,"0,69057","2,3419"
27,11,"0,61593","2,47026"
27,12,"0,54385","2,59997"
27,13,"0,47482","2,73007"
27,14,"0,40933","2,8595"
27,15,"0,3478","2,98721"
27,16,"0,29062","3,11215"
27,17,"0,23816","3,23327"
27,18,"0,19072","3,34944"
27,19,"0,14853","3,45967"
27,20,"0,11188","3,56318"
27,21,"0,08057","3,65833"
28,2,"1,32844","1,47589"
28,3,"1,25534","1,55964"
28,4,"1,18051","1,65025"
28,5,"1,10444","1,74728"
28,6,"1,02762","1,85022"
28,7,"0,95052","1,95851"
28,8,"0,87366","2,07148"
28,9,"0,79754","2,18844"
28,10,"0,72265","2,30862"
28,11,"0,64947","2,43122"
28,12,"0,57848","2,5554"
28,13,"0,51013","2,68025"
28,14,"0,44486","2,80489"
28,15,"0,38308","2,92838"
28,16,"0,32517","3,04976"
28,17,"0,27146","3,16812"
28,18,"0,22228","3,28249"
28,19,"0,17787","3,39189"
28,20,"0,13843","3,49546"
28,21,"0,10421","3,59248"
29,2,"1,34054","1,48275"
29,3,"1,26992","1,56312"
29,4,"1,19762","1,64987"
29,5,"1,12407","1,7426"
29,6,"1,04971","1,84088"
29,7,"0,97499","1,9442"
29,8,"0,90036","2,05196"
29,9,"0,82626","2,16358"
29,10,"0,75316","2,27837"
29,11,"0,68148","2,39562"
29,12,"0,61166","2,51459"
29,13,"0,54413","2,63447"
29,14,"0,47929","2,75449"
29,15,"0,41753","2,87381"
29,16,"0,35918","2,9916"
29,17,"0,30461","3,107"
29,18,"0,25409","3,21917"
29,19,"0,2079","3,32728"
29,20,"0,16625","3,43042"
29,21,"0,12931","3,52786"
30,2,"1,35204","1,48936"
30,3,"1,28373","1,56661"
30,4,"1,2138","1,64981"
30,5,"1,14262","1,7386"
30,6,"1,0706","1,83259"
30,7,"0,99815","1,93133"
30,8,"0,92564","2,03432"
30,9,"0,85351","2,14102"
30,10,"0,78217","2,2508"
30,11,"0,71202","2,36307"
30,12,"0,64345","2,47714"
30,13,"0,57685","2,59233"
30,14,"0,51259","2,70793"
30,15,"0,45105","2,82319"
30,16,"0,39255","2,93738"
30,17,"0,3374","3,04971"
30,18,"0,2859","3,15946"
30,19,"0,2383","3,26584"
30,20,"0,19485","3,36811"
30,21,"0,15572","3,46549"
31,2,"1,36298","1,49574"
31,3,"1,29685","1,57011"
31,4,"1,22915","1,65002"
31,5,"1,16021","1,73518"
31,6,"1,0904","1,82522"
31,7,"1,02008","1,91976"
31,8,"0,94962","2,01834"
31,9,"0,8794","2,12046"
31,10,"0,80979","2,22562"
31,11,"0,74115","2,33323"
31,12,"0,67387","2,44273"
31,13,"0,60828","2,55347"
31,14,"0,54474","2,66484"
31,15,"0,48358","2,77618"
31,16,"0,42513","2,8868"
31,17,"0,36966","2,99604"
31,18,"0,31748","3,10322"
31,19,"0,26882","3,20762"
31,20,"0,22392","3,30859"
31,21,"0,18298","3,40545"
32,2,"1,3734","1,5019"
32,3,"1,30932","1,57358"
32,4,"1,24371","1,65046"
32,5,"1,17688","1,73226"
32,6,"1,10916","1,81867"
32,7,"1,04088","1,90931"
32,8,"0,97239","2,00381"
32,9,"0,90401","2,10171"
32,10,"0,83609","2,20255"
32,11,"0,76897","2,30583"
32,12,"0,70299","2,41102"
32,13,"0,63847","2,51758"
32,14,"0,57573","2,62493"
32,15,"0,5151","2,73248"
32,16,"0,45685","2,83963"
32,17,"0,40129","2,94576"
32,18,"0,34866","3,05028"
32,19,"0,29923","3,15253"
32,20,"0,25319","3,25193"
32,21,"0,21078","3,34784"
33,2,"1,38335","1,50784"
33,3,"1,32119","1,57703"
33,4,"1,25756","1,6511"
33,5,"1,19272","1,72978"
33,6,"1,12698","1,81282"
33,7,"1,06065","1,89986"
33,8,"0,99402","1,99057"
33,9,"0,92743","2,08455"
33,10,"0,86115","2,18137"
33,11,"0,79554","2,28061"
33,12,"0,73086","2,38177"
33,13,"0,66745","2,48437"
33,14,"0,60559","2,58789"
33,15,"0,54558","2,69181"
33,16,"0,48769","2,79558"
33,17,"0,43219","2,89865"
33,18,"0,37933","3,00046"
33,19,"0,32935","3,10046"
33,20,"0,28246","3,19808"
33,21,"0,23887","3,29275"
34,2,"1,39285","1,51358"
34,3,"1,33251","1,58045"
34,4,"1,27074","1,65189"
34,5,"1,20779","1,7277"
34,6,"1,14393","1,80758"
34,7,"1,07944","1,89129"
34,8,"1,01462","1,97849"
34,9,"0,94973","2,06882"
34,10,"0,88506","2,1619"
34,11,"0,82091","2,25735"
34,12,"0,75755","2,35473"
34,13,"0,69527","2,45359"
34,14,"0,63433","2,55348"
34,15,"0,57503","2,65392"
34,16,"0,5176","2,75442"
34,17,"0,46231","2,85449"
34,18,"0,40939","2,95361"
34,19,"0,35907","3,05127"
34,20,"0,31155","3,14697"
34,21,"0,26704","3,2402"
35,2,"1,40194","1,51914"
35,3,"1,34332","1,58382"
35,4,"1,2833","1,65282"
35,5,"1,22214","1,72593"
35,6,"1,16007","1,80292"
35,7,"1,09735","1,88351"
35,8,"1,03424","1,96743"
35,9,"0,97099","2,05436"
35,10,"0,90788","2,14395"
35,11,"0,84516","2,23585"
35,12,"0,78311","2,32966"
35,13,"0,72197","2,42501"
35,14,"0,662","2,52146"
35,15,"0,60346","2,61858"
35,16,"0,54659","2,71593"
35,17,"0,49162","2,81306"
35,18,"0,43878","2,90951"
35,19,"0,38829","3,00481"
35,20,"0,34034","3,09851"
35,21,"0,29513","3,19013"
36,2,"1,41065","1,52451"
36,3,"1,35365","1,58716"
36,4,"1,2953","1,65387"
36,5,"1,23583","1,72447"
36,6,"1,17545","1,79873"
36,7,"1,11441","1,87643"
36,8,"1,05294","1,9573"
36,9,"0,99128","2,04104"
36,10,"0,92967","2,12737"
36,11,"0,86836","2,21594"
36,12,"0,80759","2,30642"
36,13,"0,74759","2,39844"
36,14,"0,68861","2,49162"
36,15,"0,63089","2,58557"
36,16,"0,57463","2,6799"
36,17,"0,52008","2,77418"
36,18,"0,46745","2,868"
36,19,"0,41692","2,96095"
36,20,"0,36871","3,05259"
36,21,"0,32299","3,14249"
37,2,"1,419","1,52971"
37,3,"1,36354","1,59044"
37,4,"1,30678","1,65501"
37,5,"1,24891","1,72327"
37,6,"1,19014","1,79499"
37,7,"1,13071","1,86998"
37,8,"1,07081","1,94799"
